1805,5,10.88279,0.3043216,4.35756
1805,10,8.752937,9.65823,9.357559
1805,15,-0.3253646,13.47756,12.01756
1805,20,-9.0337,10.05314,14.31756
1805,25,9.742938,-6.964987,29.23756
1805,30,11.59401,0.07388013,30.77756
1805,35,8.045489,9.660213,32.69756
1805,40,-7.424599,10.73982,36.65756
3382,5,0.6529857,-10.45569,5.6237
3382,10,10.10072,-8.040648,7.6237
3382,15,11.30145,0.1253528,9.2637
3382,20,9.460219,9.958358,11.2237
3382,25,-0.2777044,13.08358,13.1837
3382,30,-7.360703,10.91395,14.6037
3382,35,-10.17446,2.460282,16.4237
3382,40,-8.319288,-7.288717,18.3837
3382,45,0.3952738,-10.49791,20.1637
1013,5,-0.7648935,12.2338,74.2331
1013,10,7.776194,10.66461,76.0731
1013,15,10.75681,0.6217687,78.2731
1013,20,11.13903,0.1229647,129.6531
1013,25,10.51253,-6.106301,131.8331
1013,30,2.03884,-10.35303,133.5731
